Departamento,Nombre,Corto,Largo
CENTRALITA ,contacto1,XXX0,000000000
CENTRALITA ,contacto2,XXX1,111111111
CENTRALITA ,contacto3,XXX2,222222222
OFICINA ATENCION A LA CIUDADANIA,contacto4,XXX3,333333333
OFICINA ATENCION A LA CIUDADANIA,contacto5,XXX4,444444444
INTERVENCIÓN,contacto6,XXX5,555555555
INTERVENCIÓN,contacto7,XXX6,666666666
INTERVENCIÓN,contacto8,XXX7,777777777
INTERVENCIÓN,contacto9,XXX8,888888888
INTERVENCIÓN,contacto10,XXX9,999999999
INTERVENCIÓN,contacto11,XXX10,000000000
TESORERÍA,contacto12,XXX11,111111111
TESORERÍA,contacto13,XXX12,222222222
TESORERÍA,contacto14,XXX13,333333333
TESORERÍA,contacto15,XXX14,444444444
GESTIÓN TRIBUTARIA,contacto16,XXX15,555555555
GESTIÓN TRIBUTARIA,contacto17,XXX16,666666666
GESTIÓN TRIBUTARIA,contacto18,XXX17,777777777
GESTIÓN TRIBUTARIA,contacto19,XXX18,888888888
GESTIÓN TRIBUTARIA,contacto20,XXX19,999999999
RECAUDACIÓN,contacto21,XXX20,000000000
RECAUDACIÓN,contacto22,XXX21,111111111
INFORMÁTICA,contacto23,XXX22,222222222
INFORMÁTICA,contacto24,XXX23,333333333
INFORMÁTICA,contacto25,XXX24,444444444
ARCHIVO,contacto26,XXX25,555555555
SECRETARÍA,contacto27,XXX26,666666666
SECRETARÍA,contacto28,XXX27,777777777
PADRÓN,contacto29,XXX28,888888888
PADRÓN,contacto30,XXX29,999999999
PADRÓN,contacto31,XXX30,000000000
REGIMEN INTERIOR,contacto32,XXX31,111111111
REGIMEN INTERIOR,contacto33,XXX32,222222222
REGIMEN INTERIOR,contacto34,XXX33,333333333
REGIMEN INTERIOR,contacto35,XXX34,444444444
REGIMEN INTERIOR,contacto36,XXX35,555555555
REGIMEN INTERIOR,contacto37,XXX36,666666666
SANIDAD/MERCADO/PATRIMONIO,contacto38,XXX37,777777777
SANIDAD/MERCADO/PATRIMONIO,contacto39,XXX38,888888888
SANIDAD/MERCADO/PATRIMONIO,contacto40,XXX39,999999999
PROYECTOS EUROPEOS,contacto41,XXX40,000000000
URBANISMO,contacto42,XXX41,111111111
URBANISMO,contacto43,XXX42,222222222
URBANISMO,contacto44,XXX43,333333333
OBRAS Y SERVICIOS,contacto45,XXX44,444444444
OBRAS Y SERVICIOS,contacto46,XXX45,555555555
OFICINA TÉCNICA,contacto47,XXX46,666666666
OFICINA TÉCNICA,contacto48,XXX47,777777777
OFICINA TÉCNICA,contacto49,XXX48,888888888
OFICINA TÉCNICA,contacto50,XXX49,999999999
OFICINA TÉCNICA,contacto51,XXX50,000000000
OFICINA TÉCNICA,contacto52,XXX51,111111111
OFICINA TÉCNICA,contacto53,XXX52,222222222
OFICINA TÉCNICA,contacto54,XXX53,333333333
INDUSTRIA,contacto55,XXX54,444444444
INDUSTRIA,contacto56,XXX55,555555555
